product_id,product_name,category,price,cost,supplier_id,launch_date,description
P001,スマートフォン iPhone15,Electronics,148000,98000,S001,2023-09-22,最新のiPhone15モデル
P002,ワイヤレスイヤホン AirPods Pro,Electronics,39800,22000,S001,2023-09-12,ノイズキャンセリング機能付き
P003,カジュアルシャツ,Fashion,5980,2500,S002,2023-08-15,綿100%の快適なシャツ
P004,スニーカー ナイキ Air Max,Fashion,12980,7500,S003,2023-07-20,人気のエアマックスシリーズ
P005,コーヒーメーカー,Home,15800,8900,S004,2023-06-10,自動ドリップ機能付き
P006,ノートパソコン MacBook Air,Electronics,134800,95000,S001,2023-06-15,M2チップ搭載の軽量モデル
P007,ジーンズ リーバイス501,Fashion,8980,4200,S005,2023-05-25,クラシックなストレートジーンズ
P008,電子レンジ,Home,19800,12000,S006,2023-04-30,多機能オーブンレンジ
P009,スマートウォッチ Apple Watch,Electronics,52800,35000,S001,2023-09-22,健康管理機能充実
P010,掃除機 ダイソン V15,Home,89800,55000,S007,2023-03-15,サイクロン式コードレス掃除機
