date,asset_class,price,volume,volatility,expected_return
2024-01-01,国内株式,28500,1500000000,0.18,0.06
2024-01-01,海外株式,35200,2100000000,0.22,0.08
2024-01-01,国内債券,102.5,800000000,0.05,0.02
2024-01-01,海外債券,98.8,950000000,0.08,0.035
2024-01-01,REIT,1850,450000000,0.15,0.055
2024-01-01,コモディティ,2100,320000000,0.25,0.04
2024-01-02,国内株式,28650,1480000000,0.175,0.061
2024-01-02,海外株式,35450,2050000000,0.225,0.081
2024-01-02,国内債券,102.8,790000000,0.048,0.021
2024-01-02,海外債券,99.1,920000000,0.082,0.036
2024-01-02,REIT,1870,440000000,0.152,0.056
2024-01-02,コモディティ,2120,310000000,0.248,0.041
2024-01-03,国内株式,28420,1520000000,0.182,0.059
2024-01-03,海外株式,35100,2180000000,0.218,0.079
2024-01-03,国内債券,102.3,810000000,0.052,0.019
2024-01-03,海外債券,98.5,980000000,0.078,0.034
2024-01-03,REIT,1840,470000000,0.148,0.054
2024-01-03,コモディティ,2080,330000000,0.252,0.039
